timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769180669,14.51,34.04,24.19,126.4,261.0,33.4,303,6,5,155,200
1769180675,16.23,34.07,24.25,126.3,261.0,33.4,302,5,6,134,200
1769180680,17.27,33.72,24.24,126.3,261.0,33.4,302,5,6,204,200
1769180685,17.41,33.48,24.22,126.7,260.6,33.5,304,5,4,229,200
1769180691,16.18,32.95,24.1,126.6,260.7,33.5,308,5,0,193,200
1769180696,15.76,32.59,24.02,126.3,261.1,33.4,304,6,3,421,200
1769180702,0,0,0,0,0,0,0,0,0,5290,200
1769180713,0,0,0,0,0,0,0,0,0,5204,200
1769180724,22.1,32.51,24.27,126.6,260.7,33.5,306,5,2,3471,200
1769180733,21.61,32.23,24.22,126.7,260.6,33.5,307,5,2,202,200
1769180738,20.28,31.78,24.12,126.6,260.7,33.5,303,8,5,208,200
1769180744,0,0,0,0,0,0,0,0,0,5198,200
1769180754,0,0,0,0,0,0,0,0,0,5179,200
1769180765,26.72,32.41,24.54,126.7,260.5,33.5,303,1,5,2204,200
1769180772,0,0,0,0,0,0,0,0,0,5136,200
1769180783,28.54,32.44,24.76,126.9,260.3,33.6,302,7,6,3420,200
1769180791,0,0,0,0,0,0,0,0,0,6089,200
1769180803,0,0,0,0,0,0,0,0,0,5205,200
1769180814,0,0,0,0,0,0,0,0,0,5209,200
1769180824,29.94,32.56,25.14,126.2,261.0,33.4,306,6,1,1630,200
1769180831,28.34,32.19,25.06,126.4,260.8,33.4,305,8,1,3318,200
1769180840,26.71,31.71,24.98,126.6,260.6,33.5,304,7,3,1466,200
1769180846,26.97,31.68,25.01,126.4,260.8,33.5,304,5,3,3123,200
1769180855,25.21,31.23,24.9,126.6,260.6,33.5,293,19,5,166,200
1769180860,0,0,0,0,0,0,0,0,0,5207,200
1769180871,0,0,0,0,0,0,0,0,0,5206,200
1769180881,0,0,0,0,0,0,0,0,0,5220,200
1769180892,35.35,32.99,25.75,125.9,261.2,33.3,294,9,5,197,200
1769180898,34.28,32.81,25.73,125.8,261.4,33.3,293,11,4,217,200
1769180903,0,0,0,0,0,0,0,0,0,5435,200
1769180914,0,0,0,0,0,0,0,0,0,5225,200
1769180925,37.24,33.63,26.19,125.7,261.5,33.3,294,10,4,216,200
1769180930,33.78,33.0,26.06,125.6,261.6,33.2,289,14,7,207,200
1769180936,33.8,33.01,26.11,124.9,262.2,33.0,283,10,10,4011,200
1769180945,0,0,0,0,0,0,0,0,0,5210,200
1769180956,0,0,0,0,0,0,0,0,0,5213,200
1769180966,0,0,0,0,0,0,0,0,0,5195,200
1769180977,74.12,45.36,30.66,125.7,261.4,33.3,290,11,8,227,200
1769180982,70.18,45.02,30.63,125.6,261.5,33.2,293,10,5,1975,200
1769180990,65.92,44.56,30.56,125.8,261.3,33.3,289,12,8,159,200
1769180995,63.3,44.7,30.76,125.6,261.5,33.3,288,11,9,2627,200
1769181003,0,0,0,0,0,0,0,0,0,5217,200
1769181014,0,0,0,0,0,0,0,0,0,5234,200
1769181024,0,0,0,0,0,0,0,0,0,5219,200
1769181035,56.33,45.58,31.66,125.2,261.7,33.1,287,12,10,1577,200
1769181042,54.3,45.34,31.66,125.5,261.6,33.2,292,11,6,2703,200
1769181050,51.39,44.88,31.58,125.6,261.5,33.2,291,12,6,190,200
1769181055,51.6,45.23,31.91,126.3,260.7,33.4,289,13,8,4801,200
1769181066,0,0,0,0,0,0,0,0,0,5185,200
1769181076,45.09,44.1,31.75,126.0,261.1,33.4,293,12,3,3501,200
1769181085,39.05,42.84,31.47,125.6,261.4,33.3,295,12,1,2030,200
1769181092,38.97,42.76,31.51,125.5,261.6,33.2,290,14,6,204,200
1769181098,0,0,0,0,0,0,0,0,0,5322,200
1769181109,0,0,0,0,0,0,0,0,0,5240,200
1769181119,0,0,0,0,0,0,0,0,0,5208,200
1769181130,48.81,45.06,32.77,126.1,261.0,33.4,290,13,8,4923,200
1769181140,43.39,44.02,32.57,125.9,261.2,33.3,295,12,3,182,200
1769181146,41.28,43.57,32.48,126.0,261.1,33.3,293,12,5,185,200
1769181152,42.14,43.71,32.59,126.0,261.1,33.3,293,10,5,4211,200
1769181161,39.0,43.0,32.47,126.2,260.8,33.4,295,13,3,1942,200
1769181168,37.88,42.7,32.43,126.2,260.9,33.4,296,8,2,190,200
1769181174,36.69,42.37,32.38,125.7,261.3,33.3,289,14,12,199,200
1769181179,0,0,0,0,0,0,0,0,0,5197,200
1769181190,0,0,0,0,0,0,0,0,0,5176,200
1769181200,0,0,0,0,0,0,0,0,0,5194,200
1769181211,43.54,43.66,33.25,125.9,261.1,33.3,290,9,5,2095,200
1769181218,41.26,43.19,33.15,125.5,261.5,33.2,294,10,3,172,200
1769181224,39.39,42.77,33.07,125.6,261.4,33.2,293,7,5,2141,200
1769181231,0,0,0,0,0,0,0,0,0,5207,200
1769181242,34.57,41.48,32.86,125.9,261.1,33.3,296,10,2,811,200
1769181248,30.68,40.42,32.6,125.5,261.5,33.2,298,8,1,3471,200
1769181257,32.06,40.55,32.69,125.4,261.5,33.2,290,11,9,262,200
1769181262,32.14,40.42,32.69,125.3,261.6,33.2,287,9,11,142,200
1769181268,39.58,41.83,33.19,124.9,261.9,33.1,287,8,12,191,200
1769181273,39.77,41.83,33.23,125.1,261.7,33.1,288,8,11,188,200
1769181279,0,0,0,0,0,0,0,0,0,5193,200
1769181289,0,0,0,0,0,0,0,0,0,5487,200
1769181300,43.4,42.58,33.76,125.9,261.1,33.3,286,9,11,3867,200
1769181309,41.05,42.11,33.65,125.5,261.4,33.2,292,8,6,2175,200
1769181317,0,0,0,0,0,0,0,0,0,5202,200
1769181327,0,0,0,0,0,0,0,0,0,5213,200
1769181338,0,0,0,0,0,0,0,0,0,5204,200
1769181348,0,0,0,0,0,0,0,0,0,5210,200
1769181359,45.18,43.3,34.52,125.9,261.0,33.3,298,10,3,222,200
1769181364,0,0,0,0,0,0,0,0,0,5218,200
1769181375,36.63,41.5,34.11,125.8,261.2,33.3,299,7,2,1032,200
1769181381,34.34,40.94,33.97,125.8,261.1,33.3,300,6,1,213,200
1769181387,32.15,40.38,33.82,125.4,261.5,33.2,298,6,3,212,200
1769181392,0,0,0,0,0,0,0,0,0,5288,200
1769181403,0,0,0,0,0,0,0,0,0,5211,200
1769181414,0,0,0,0,0,0,0,0,0,5198,200
1769181424,0,0,0,0,0,0,0,0,0,5142,200
1769181435,0,0,0,0,0,0,0,0,0,5204,200
1769181445,44.27,42.79,35.09,125.7,261.2,33.3,297,6,3,2139,200
1769181453,42.33,42.41,35.01,125.3,261.6,33.2,299,6,3,208,200
1769181458,42.3,42.41,35.05,125.4,261.5,33.2,296,8,6,170,200
1769181464,0,0,0,0,0,0,0,0,0,5194,200
1769181474,40.43,42.01,35.03,125.6,261.3,33.3,292,9,11,179,200
1769181480,0,0,0,0,0,0,0,0,0,5375,200
1769181491,0,0,0,0,0,0,0,0,0,5197,200
1769181501,39.73,41.86,35.22,125.7,261.2,33.3,298,7,3,4521,200
1769181511,36.14,41.02,35.01,125.7,261.3,33.3,294,6,8,173,200
1769181516,0,0,0,0,0,0,0,0,0,5173,200
1769181527,0,0,0,0,0,0,0,0,0,5170,200
1769181537,37.0,40.86,35.12,125.8,261.1,33.3,293,6,9,182,200
1769181543,37.24,40.84,35.15,125.7,261.2,33.3,294,6,12,207,200
1769181549,36.3,40.53,35.11,126.2,260.8,33.4,298,6,8,3083,200
1769181557,34.84,40.16,35.02,126.2,260.7,33.4,301,6,5,201,200
1769181563,35.01,40.11,35.03,126.6,260.4,33.5,302,6,4,206,200
1769181568,32.29,39.46,34.84,126.4,260.6,33.5,306,6,0,206,200
1769181574,30.18,38.9,34.69,126.2,260.7,33.4,304,6,2,409,200
1769181579,30.01,38.72,34.65,125.9,261.0,33.3,297,9,7,213,200
1769181585,0,0,0,0,0,0,0,0,0,5209,200
1769181596,30.25,38.2,34.57,126.2,260.7,33.4,296,9,7,2833,200
1769181604,51.43,42.35,35.95,126.2,260.7,33.4,299,8,5,2910,200
1769181612,0,0,0,0,0,0,0,0,0,5227,200
1769181622,0,0,0,0,0,0,0,0,0,5213,200
1769181633,0,0,0,0,0,0,0,0,0,5200,200
1769181644,47.04,42.56,36.3,126.7,260.3,33.5,293,10,9,2725,200
1769181652,45.44,42.3,36.25,126.5,260.5,33.5,299,10,4,193,200
1769181657,43.64,41.98,36.18,126.4,260.6,33.4,297,7,7,4524,200
1769181667,0,0,0,0,0,0,0,0,0,5179,200
1769181677,0,0,0,0,0,0,0,0,0,5223,200
1769181688,37.95,40.84,35.99,126.7,260.3,33.5,303,9,2,199,200
