timestamp,pool_id,load1,load5,load15,available,total,status
1769638168,ai-foxhop-net,4.03,3.12,1.68,57,88,healthy
1769638168,cammy-foxhop-net,30.16,13.78,6.41,285,335,healthy
1769638174,ai-foxhop-net,4.11,3.15,1.7,56,94,healthy
1769638174,cammy-foxhop-net,28.62,13.74,6.43,284,338,healthy
1769638180,ai-foxhop-net,5.78,3.52,1.82,57,94,healthy
1769638180,cammy-foxhop-net,27.45,13.74,6.47,282,338,healthy
1769638185,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638185,cammy-foxhop-net,26.77,13.83,6.54,282,338,healthy
1769638191,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638191,cammy-foxhop-net,23.71,13.6,6.54,284,338,healthy
1769638196,ai-foxhop-net,4.21,3.31,1.79,61,94,healthy
1769638196,cammy-foxhop-net,22.7,13.56,6.57,283,338,healthy
1769638201,ai-foxhop-net,6.04,3.7,1.93,61,94,healthy
1769638201,cammy-foxhop-net,22.7,13.56,6.57,283,338,healthy
1769638207,ai-foxhop-net,8.68,4.29,2.12,61,94,healthy
1769638207,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638213,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638213,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638219,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638219,cammy-foxhop-net,20.27,13.6,6.73,280,334,healthy
1769638225,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638225,cammy-foxhop-net,17.31,13.19,6.67,281,334,healthy
1769638231,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638231,cammy-foxhop-net,16.64,13.12,6.68,281,334,healthy
1769638236,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638236,cammy-foxhop-net,16.03,13.05,6.7,281,334,healthy
1769638242,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638242,cammy-foxhop-net,15.79,13.05,6.73,280,334,healthy
1769638247,ai-foxhop-net,5.99,4.23,2.2,72,94,healthy
1769638247,cammy-foxhop-net,14.77,12.88,6.71,279,333,healthy
1769638253,ai-foxhop-net,5.83,4.22,2.21,72,94,healthy
1769638253,cammy-foxhop-net,13.9,12.73,6.7,278,332,healthy
1769638258,ai-foxhop-net,5.92,4.27,2.24,73,94,healthy
1769638258,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638264,ai-foxhop-net,5.45,4.2,2.22,74,94,healthy
1769638264,cammy-foxhop-net,12.16,12.4,6.65,276,331,healthy
1769638269,ai-foxhop-net,4.84,4.11,2.22,68,90,healthy
1769638269,cammy-foxhop-net,14.73,12.93,6.89,269,328,healthy
1769638275,ai-foxhop-net,4.45,4.04,2.2,67,87,healthy
1769638275,cammy-foxhop-net,14.73,12.93,6.89,269,328,healthy
1769638281,ai-foxhop-net,4.89,4.14,2.25,69,90,healthy
1769638281,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638286,ai-foxhop-net,4.5,4.07,2.23,69,90,healthy
1769638286,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638292,ai-foxhop-net,4.22,4.02,2.23,67,90,healthy
1769638292,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638297,ai-foxhop-net,3.96,3.97,2.22,63,87,healthy
1769638297,cammy-foxhop-net,19.93,14.43,7.58,274,321,healthy
1769638303,ai-foxhop-net,5.03,4.19,2.31,30,60,healthy
1769638303,cammy-foxhop-net,24.1,15.39,7.93,251,319,healthy
1769638309,ai-foxhop-net,5.03,4.19,2.31,30,60,healthy
1769638309,cammy-foxhop-net,24.1,15.39,7.93,251,319,healthy
1769638315,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638315,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638320,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638320,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638326,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638326,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638331,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638331,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638336,ai-foxhop-net,8.63,5.37,2.77,38,56,healthy
1769638336,cammy-foxhop-net,39.28,19.9,9.67,254,293,healthy
1769638342,ai-foxhop-net,12.35,6.19,3.06,26,51,healthy
1769638342,cammy-foxhop-net,40.22,20.41,9.89,253,300,healthy
1769638347,ai-foxhop-net,15.52,6.95,3.32,21,52,healthy
1769638347,cammy-foxhop-net,40.45,20.79,10.07,243,291,healthy
1769638353,ai-foxhop-net,18.52,7.72,3.59,29,50,healthy
1769638353,cammy-foxhop-net,44.41,21.94,10.5,241,286,healthy
1769638358,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638358,cammy-foxhop-net,44.3,22.29,10.67,241,284,healthy
1769638364,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638364,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638369,ai-foxhop-net,14.41,7.49,3.6,32,50,healthy
1769638369,cammy-foxhop-net,51.67,24.99,11.74,225,278,healthy
1769638375,ai-foxhop-net,16.54,8.04,3.8,32,50,healthy
1769638375,cammy-foxhop-net,51.67,24.99,11.74,225,278,healthy
1769638381,ai-foxhop-net,19.7,8.84,4.08,34,64,healthy
1769638381,cammy-foxhop-net,59.15,26.98,12.46,222,273,healthy
1769638386,ai-foxhop-net,19.7,8.84,4.08,34,64,healthy
1769638386,cammy-foxhop-net,58.57,27.4,12.67,223,261,healthy
1769638392,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638392,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638397,ai-foxhop-net,16.04,8.57,4.07,47,77,healthy
1769638397,cammy-foxhop-net,58.25,28.93,13.41,223,257,healthy
1769638403,ai-foxhop-net,23.09,10.3,4.68,43,70,healthy
1769638403,cammy-foxhop-net,59.83,29.74,13.76,216,261,healthy
1769638408,ai-foxhop-net,23.09,10.3,4.68,43,70,healthy
1769638408,cammy-foxhop-net,60.16,30.31,14.03,204,257,healthy
1769638414,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638414,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638419,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638419,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638425,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638425,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638430,ai-foxhop-net,17.86,10.19,4.8,58,77,healthy
1769638430,cammy-foxhop-net,66.93,34.52,15.87,207,246,healthy
1769638436,ai-foxhop-net,18.86,10.63,5.0,44,65,healthy
1769638436,cammy-foxhop-net,61.97,34.03,15.81,215,254,healthy
1769638441,ai-foxhop-net,18.86,10.63,5.0,38,60,healthy
1769638441,cammy-foxhop-net,63.26,34.76,16.14,210,250,healthy
1769638446,ai-foxhop-net,19.43,10.89,5.11,40,59,healthy
1769638446,cammy-foxhop-net,62.2,35.01,16.32,208,244,healthy
1769638452,ai-foxhop-net,19.43,10.89,5.11,40,59,healthy
1769638452,cammy-foxhop-net,62.5,35.53,16.59,207,242,healthy
1769638458,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638458,cammy-foxhop-net,60.62,35.59,16.71,207,241,healthy
1769638463,ai-foxhop-net,15.75,10.58,5.13,24,51,healthy
1769638463,cammy-foxhop-net,62.76,36.87,17.33,197,243,healthy
1769638469,ai-foxhop-net,18.41,11.21,5.37,20,49,healthy
1769638469,cammy-foxhop-net,61.66,37.07,17.5,193,235,healthy
1769638474,ai-foxhop-net,18.41,11.21,5.37,20,49,healthy
1769638474,cammy-foxhop-net,61.66,37.07,17.5,193,235,healthy
1769638480,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638480,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638486,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638486,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769638491,ai-foxhop-net,16.04,11.2,5.49,28,51,healthy
1769638491,cammy-foxhop-net,56.43,37.46,18.05,200,232,healthy
1769638497,ai-foxhop-net,18.04,11.7,5.68,26,47,healthy
1769638497,cammy-foxhop-net,62.08,38.94,18.63,186,231,healthy
1769638502,ai-foxhop-net,24.12,13.06,6.16,25,46,healthy
1769638502,cammy-foxhop-net,63.11,39.54,18.93,188,222,healthy
1769638509,ai-foxhop-net,null,null,null,0,0,unhealthy
1769638509,cammy-foxhop-net,null,null,null,0,0,unhealthy
